yudata total ssrdata
449	21	7	2	2
Da
Ning
Ding
Wan
VH
CP
NP
MH
ML
Tai
CS
TNP
KT
DAL
HB
Wu
CH
ST
SNP
CI
JA
Pop	Ind	SSR01(F38)	SSR02(F411)	SSR03(F398)	SSR04(F436)	SSR05(FH3)	SSR06(FH10)	SSR07(FH47)	
6	YC21	1517	2834	3133	2020	0110	2131	1313
6	YC22	0337	1034	2933	1720	1019	2527	1316
6	YC23	1515	3437	2525	0117	1619	3131	1619
6	YC24	1515	3134	2931	2331	1919	2125	1013
7	YF1	1515	1934	2933	1927	1016	2331	0710
7	YF3	7777	3452	0303	2023	1010	4551	0719
7	YF4	2323	3134	3333	0520	1019	2731	1010
7	YF5	1519	3137	3333	2727	1019	2323	1313
7	YF6	2323	2528	2323	2529	1010	2323	1625
7	YF7	1113	4649	0307	2323	0713	4551	0719
7	YF8	0911	1640	0303	2023	1010	4551	0719
7	YF9	2323	2528	00	1723	1016	2331	0710
7	YF10	6767	3134	0101	1923	1010	4563	0719
7	YF11	1519	3131	3131	2727	1019	2323	1313
7	YF12	1313	1334	4545	1517	1010	2931	1919
7	YF13	1923	2234	00	1923	1010	4563	0707
7	YF14	1143	3134	2529	2020	1619	2131	1010
7	YF15	1521	2831	2527	1923	1016	2123	0713
7	YF16	6779	2534	2327	1923	1010	4563	0707
7	YF17	0909	3137	3333	2020	1010	2323	1010
7	YF18	2323	3134	3333	0520	1019	2731	1010
7	YF19	6777	1931	0303	1923	1010	6363	0707
7	YF20	2335	2231	2531	0517	1025	2327	1013
8	MH1	00	3437	00	00	0713	2123	1316
8	MH2	00	3134	2939	1923	0410	1525	1016
8	MH3	1117	2831	00	2323	1010	2123	1316
8	MH4	1131	2828	2525	00	1010	2325	1019
8	MH5	1115	2831	00	1931	0710	2327	1316
8	MH6	3343	2834	3133	00	0710	2325	1319
8	MH7	2727	3434	3939	00	0716	1521	1016
8	MH8	2529	3134	2325	00	0710	2125	1319
8	MH9	170	00	00	00	0710	00	1322
8	MH10	0717	2834	00	00	0407	00	1322
8	MH11	1919	3437	00	00	0710	00	1322
8	MH12	1319	3437	00	00	0716	00	1622
8	MH13	1327	3134	2323	00	1619	2323	1013
8	MH14	1313	3134	2325	00	1019	1523	1013
8	MH15	3947	3134	2929	0513	1010	1525	1013
8	MH16	0909	3134	00	00	1010	2123	1316
8	MH17	4547	2834	2323	00	1619	2123	0713
8	MH18	2743	2534	2325	00	1016	2123	1319
8	MH19	2327	3437	2525	00	1016	2131	1919
8	MH20	1919	3134	2323	1929	1316	00	0713
8	MH21	1313	2834	2323	00	1016	2323	1013
8	MH22	1927	3134	00	00	1919	2525	1313
8	MH23	0927	2834	2939	00	1016	2123	1616
8	MH24	2327	2834	2333	1719	1016	2323	0713
9	ML1	2331	3134	3939	1919	1016	2125	1010
9	ML2	0909	3137	2933	2023	1010	2125	1016
9	ML3	1325	2837	2929	1923	1010	2123	1013
9	ML4	2329	2831	1531	1920	1016	2127	1019
9	ML5	0913	3134	2323	0919	1010	2325	1316
9	ML6	1325	3740	00	00	1010	2323	1316
9	ML7	0909	2537	00	00	1010	2325	0713
9	ML8	1313	2534	00	00	1619	2121	1013
9	ML9	310	2534	3535	2020	1016	2127	0713
9	ML10	1331	3134	00	00	1019	1523	1316
9	ML11	1325	3134	2941	00	1019	2121	1016
9	ML12	0925	3440	2931	00	1010	2123	1016
9	MLA	1119	2531	2527	00	1622	2525	1319
9	MLB	1327	2831	2929	1925	1019	00	1319
9	MLC	1919	2531	3333	1519	1922	00	1016
10	T51	1117	3434	3133	2525	0110	2331	0416
10	T52	1327	2831	3941	2727	1919	2123	1313
10	T53	2531	1931	00	2729	1010	00	1313
10	T54	0935	2834	3133	1929	1010	00	1019
10	T55	1313	3134	1541	2027	1019	2327	1316
10	T56	1331	2534	2329	2525	1019	2325	1619
10	T57	1313	3134	00	1927	1019	2327	1316
10	T58	3131	3131	3131	2027	0710	00	1013
10	T59	1327	3437	3131	0927	1016	2123	1013
10	T510	1317	3137	2729	0917	1010	00	1016
10	T511	0909	3134	3139	2027	1019	2325	1625
10	T512	0909	3137	3133	2027	1016	00	1013
10	T513	0303	2528	4749	1925	1016	2729	1013
10	T514	0931	3137	2329	2025	1919	2323	1616
10	T515	0915	00	2527	00	1319	00	1013
10	T516	0931	3137	2329	2025	1919	2323	1616
10	T517	0929	3137	2125	1925	1919	00	1616
11	T21	2337	3137	2941	1717	1019	2123	0710
11	T22	1529	3440	3537	2325	1010	1521	1013
11	T23	0931	3743	00	2525	1019	2123	0710
11	T24	0913	2837	2331	1919	1019	1521	1013
11	T25	2329	3434	1539	2325	1010	2123	1319
11	T26	0923	3437	00	1919	1016	1523	1016
11	T27	0909	2837	00	2929	1016	1521	1013
11	T28	0713	3134	3131	1920	1016	1521	1013
11	T29	1331	2831	3739	2020	1010	2531	1013
11	T210	1335	3137	3939	2027	1010	2123	0716
11	T211	0909	3137	1525	2729	1019	1521	1013
11	T213	0327	3437	4141	1925	1010	2131	1013
11	T214	0707	3134	2127	1719	1019	1521	0710
11	T215	3135	2831	00	1920	1010	1521	1013
11	T216	3749	2831	3737	2025	1010	2123	0719
11	T217	1119	3134	00	1919	1019	1521	1319
11	T218	0909	3140	00	1923	1010	1521	1013
11	T219	0937	2837	3133	2929	1010	2325	1013
11	T220	2527	3437	2729	2531	1010	2123	1013
11	T221	1117	2834	00	00	0710	1923	1319
11	T222	1325	3437	2729	2323	1019	2125	1013
11	T223	1117	3131	00	1717	1010	2123	1319
11	T224	0929	3131	3737	2023	1010	2123	1319
12	T12	2543	3134	1529	2525	00	00	0713
12	T13	3137	2531	2929	2325	00	00	1313
12	T14	2535	3131	2529	2325	00	00	0410
12	T15	1927	3131	2539	2325	00	00	1919
12	T16	2735	2837	3939	2325	1619	1523	1013
12	T17	2937	2531	2929	1923	1019	1523	0713
12	T18	1929	3134	2339	1923	1022	1523	1013
12	T19	3535	2837	3131	1925	1016	1523	1013
12	T110	2537	3737	2929	2325	1019	1521	1319
12	T111	1927	3131	2539	2020	1619	2535	0719
12	T112	1919	3131	3535	2025	1619	1523	1013
12	T113	2941	3434	3535	2020	1016	2531	1319
12	T114	3745	3134	2941	2025	1016	2327	1013
12	T115	2331	3437	3131	1925	1019	1525	1010
12	T116	2323	3134	00	1923	1619	1521	1013
12	T117	1937	2837	2739	2323	1619	2331	1319
12	T118	1935	3137	2939	2525	1019	1523	1013
12	T119	1941	2531	2323	2525	1010	1523	0713
12	T120	0919	3131	2931	2929	1010	1523	1013
12	T121	2935	3131	3939	1925	1016	1523	0713
12	T122	2731	3131	3135	1923	1019	1523	1319
12	T1h1	1935	3137	2323	2525	1010	1523	1319
12	T1h2	2533	3137	2929	1923	1016	2331	0710
12	T1h3	1929	3137	1529	2325	1019	1523	1013
12	T1h4	1933	3131	2531	2329	1313	00	0713
12	T1h5	1931	3137	2929	1925	1325	2121	0713
13	YK661	0909	2534	2333	1919	0719	2525	1313
13	YK662	0921	2225	2333	1925	1619	2325	1319
13	YK663	0919	2534	2327	2525	1019	2325	1313
13	YK664	0909	2534	2535	1523	00	2325	1013
13	YK671	0707	2531	2729	00	1013	1929	1013
13	YK672	0909	2834	2533	1925	1019	2525	1013
13	YK681	0909	2834	2533	1925	1019	2525	1013
13	YK682	0919	3134	3133	00	0110	1921	1013
13	YK684	0919	00	00	00	1619	00	00
13	YK470	0911	2834	2735	1923	1919	2327	0713
13	YK471	0909	2831	2333	1923	0710	2327	1616
13	YK472	0919	1625	1333	1925	1919	2323	1010
13	YK473	0505	2531	00	00	1619	2931	1016
13	YK474	1525	00	00	00	1016	2327	1016
13	YK475	1725	00	00	00	0710	1929	1013
14	YL1	0909	2531	2549	2033	1016	2125	1316
14	YL3	0743	2546	3333	2733	1010	2525	1313
14	YL4	0709	1934	2329	2535	0719	2323	1313
14	YL5	0707	1625	2327	2323	1919	2325	1313
14	YL6	0709	2228	2333	2335	1019	2525	1313
14	YL7	0909	2531	2549	2020	1919	2125	1316
14	YL8	0909	2831	2533	2023	1919	2525	1316
14	YL9	0941	1940	2329	2931	1022	2323	1313
14	YL10	0931	2534	2933	1919	1919	2525	1316
14	YL11	0909	2840	2525	1925	1919	2527	1313
14	YL12	0741	2537	2325	2029	1019	2331	1016
14	YL13	0709	1940	2527	1719	1019	2325	1016
14	YL14	0709	2534	2533	2533	1010	2335	1316
14	YL15	0909	3446	2333	2035	1619	2323	1313
14	YL16	0909	2834	2537	2325	1019	2525	1313
14	YL17	0909	3437	2535	0717	1922	2527	1016
14	YL18	0709	3140	2527	1719	1019	2325	1016
14	YL19	0909	3437	2535	0717	1922	2527	1016
14	YL20	0707	3140	3737	1929	1019	2325	1313
14	YL21	0909	2531	2549	2033	1919	2125	1316
14	YL22	0909	2531	2549	2033	1919	2125	1316
14	YL23	0909	2531	2549	2033	1919	2125	1316
