yudata total ssrdata																																						
449	21		7	2	2																																	
Da																																						
Ning																																						
Ding																																						
Wan																																						
VH																																						
CP																																						
NP																																						
MH																																						
ML																																						
Tai																																						
CS																																						
TNP																																						
KT																																						
DAL																																						
HB																																						
Wu																																						
CH																																						
ST																																						
SNP																																						
CI																																						
JA																																						
SITE	CODE	SSR01(F38)		SSR02(F411)		SSR03(F398)		SSR04(F436)		SSR05(FH3)		SSR06(FH10)		SSR07(FH47)																								
5	YY7	0	0	34	40	23	23	0	0	0	0	0	0	0	0																							
5	YY8	0	0	22	34	23	23	0	0	0	0	0	0	0	0																							
5	YY9	9	9	34	40	31	31	15	25	10	10	21	35	13	16																							
5	YY10	15	15	19	34	29	29	20	25	10	16	21	31	13	22																							
5	YY11	3	9	25	28	27	27	17	23	10	10	21	27	10	10																							
5	YY12	0	0	31	34	23	23	0	0	0	0	0	0	0	0																							
5	YY13	0	0	31	46	19	27	25	25	10	10	37	37	13	13																							
5	YY14	0	0	10	37	23	23	0	0	0	0	0	0	0	0																							
5	YY15	0	0	28	31	25	25	0	0	0	0	0	0	0	0																							
5	YY16	0	0	22	28	31	31	15	17	7	10	27	27	16	19																							
5	YY19	0	0	25	37	23	23	19	23	10	19	15	21	13	19																							
5	YY20	0	0	25	34	27	29	19	19	10	16	27	27	10	13																							
5	YY21	0	0	34	37	31	31	17	27	10	19	25	31	16	19																							
5	YY22	0	0	34	40	21	23	19	29	1	16	25	27	7	13																							
5	YY23	0	0	37	40	25	25	17	20	16	16	19	27	10	13																							
5	YY24	0	0	31	34	25	33	15	20	16	22	21	23	10	13																							
6	YC1	17	21	25	31	33	35	20	29	10	16	27	43	13	19																							
6	YC2	15	23	16	34	25	25	20	25	10	16	21	25	13	16																							
6	YC4	3	11	34	40	23	37	20	20	10	16	19	31	10	13																							
6	YC5	15	15	28	34	39	39	25	25	13	13	27	31	16	19																							
6	YC6	17	17	25	34	29	33	17	19	10	16	25	31	13	19																							
6	YC7	3	3	25	34	31	33	23	27	10	16	31	33	10	13																							
6	YC8	11	15	34	34	19	19	19	20	10	16	23	25	10	16																							
6	YC9	15	15	31	34	31	33	20	20	16	16	21	31	16	19																							
6	YC10	9	17	34	34	33	33	17	23	10	10	25	49	13	16																							
6	YC11	11	19	10	34	23	31	19	20	16	19	27	31	13	16																							
6	YC12	3	3	16	31	31	33	19	23	10	10	21	31	10	13																							
6	YC13	21	21	31	34	39	39	20	20	10	16	21	27	13	22																							
6	YC14	0	0	28	34	31	33	17	20	10	19	21	27	16	19																							
6	YC15	0	0	34	34	31	35	20	25	10	16	25	25	10	13																							
6	YC16	0	0	28	34	25	25	19	27	10	10	9	23	10	13																							
6	YC17	0	0	31	34	33	33	20	20	10	10	31	33	13	16																							
6	YC18	0	0	31	40	39	39	19	20	10	19	23	31	10	13																							
6	YC20	0	0	25	28	31	41	17	20	10	16	21	25	7	13																							
6	YC21	15	17	28	34	31	33	20	20	1	10	21	31	13	13																							
6	YC22	3	37	10	34	29	33	17	20	10	19	25	27	13	16																							
6	YC23	15	15	34	37	25	25	1	17	16	19	31	31	16	19																							
6	YC24	15	15	31	34	29	31	23	31	19	19	21	25	10	13																							
7	YF1	15	15	19	34	29	33	19	27	10	16	23	31	7	10																							
7	YF3	77	77	34	52	3	3	20	23	10	10	45	51	7	19																							
7	YF4	23	23	31	34	33	33	5	20	10	19	27	31	10	10																							
7	YF5	15	19	31	37	33	33	27	27	10	19	23	23	13	13																							
7	YF6	23	23	25	28	23	23	25	29	10	10	23	23	16	25																							
7	YF7	11	13	46	49	3	7	23	23	7	13	45	51	7	19																							
7	YF8	9	11	16	40	3	3	20	23	10	10	45	51	7	19																							
7	YF9	23	23	25	28	0	0	17	23	10	16	23	31	7	10																							
7	YF10	67	67	31	34	1	1	19	23	10	10	45	63	7	19																							
7	YF11	15	19	31	31	31	31	27	27	10	19	23	23	13	13																							
7	YF12	13	13	13	34	45	45	15	17	10	10	29	31	19	19																							
7	YF13	19	23	22	34	0	0	19	23	10	10	45	63	7	7																							
7	YF14	11	43	31	34	25	29	20	20	16	19	21	31	10	10																							
7	YF15	15	21	28	31	25	27	19	23	10	16	21	23	7	13																							
7	YF16	67	79	25	34	23	27	19	23	10	10	45	63	7	7																							
7	YF17	9	9	31	37	33	33	20	20	10	10	23	23	10	10																							
7	YF18	23	23	31	34	33	33	5	20	10	19	27	31	10	10																							
7	YF19	67	77	19	31	3	3	19	23	10	10	63	63	7	7																							
7	YF20	23	35	22	31	25	31	5	17	10	25	23	27	10	13																							
8	MH1	0	0	34	37	0	0	0	0	7	13	21	23	13	16																							
8	MH2	0	0	31	34	29	39	19	23	4	10	15	25	10	16																							
8	MH3	11	17	28	31	0	0	23	23	10	10	21	23	13	16																							
8	MH4	11	31	28	28	25	25	0	0	10	10	23	25	10	19																							
8	MH5	11	15	28	31	0	0	19	31	7	10	23	27	13	16																							
8	MH6	33	43	28	34	31	33	0	0	7	10	23	25	13	19																							
8	MH7	27	27	34	34	39	39	0	0	7	16	15	21	10	16																							
8	MH8	25	29	31	34	23	25	0	0	7	10	21	25	13	19																							
8	MH9	17	226	0	0	0	0	0	0	7	10	0	0	13	22																							
8	MH10	7	17	28	34	0	0	0	0	4	7	0	0	13	22																							
8	MH11	19	19	34	37	0	0	0	0	7	10	0	0	13	22																							
8	MH12	13	19	34	37	0	0	0	0	7	16	0	0	16	22																							
8	MH13	13	27	31	34	23	23	0	0	16	19	23	23	10	13																							
8	MH14	13	13	31	34	23	25	0	0	10	19	15	23	10	13																							
8	MH15	39	47	31	34	29	29	5	13	10	10	15	25	10	13																							
8	MH16	9	9	31	34	0	0	0	0	10	10	21	23	13	16																							
8	MH17	45	47	28	34	23	23	0	0	16	19	21	23	7	13																							
8	MH18	27	43	25	34	23	25	0	0	10	16	21	23	13	19																							
8	MH19	23	27	34	37	25	25	0	0	10	16	21	31	19	19																							
8	MH20	19	19	31	34	23	23	19	29	13	16	0	0	7	13																							
8	MH21	13	13	28	34	23	23	0	0	10	16	23	23	10	13																							
8	MH22	19	27	31	34	0	0	0	0	19	19	25	25	13	13																							
8	MH23	9	27	28	34	29	39	0	0	10	16	21	23	16	16																							
8	MH24	23	27	28	34	23	33	17	19	10	16	23	23	7	13																							
9	ML1	23	31	31	34	39	39	19	19	10	16	21	25	10	10																							
9	ML2	9	9	31	37	29	33	20	23	10	10	21	25	10	16																							
9	ML3	13	25	28	37	29	29	19	23	10	10	21	23	10	13																							
9	ML4	23	29	28	31	15	31	19	20	10	16	21	27	10	19																							
9	ML5	9	13	31	34	23	23	9	19	10	10	23	25	13	16																							
9	ML6	13	25	37	40	0	0	0	0	10	10	23	23	13	16																							
9	ML7	9	9	25	37	0	0	0	0	10	10	23	25	7	13																							
9	ML8	13	13	25	34	0	0	0	0	16	19	21	21	10	13																							
9	ML9	31	226	25	34	35	35	20	20	10	16	21	27	7	13																							
9	ML10	13	31	31	34	0	0	0	0	10	19	15	23	13	16																							
9	ML11	13	25	31	34	29	41	0	0	10	19	21	21	10	16																							
9	ML12	9	25	34	40	29	31	0	0	10	10	21	23	10	16																							
9	MLA	11	19	25	31	25	27	0	0	16	22	25	25	13	19																							
9	MLB	13	27	28	31	29	29	19	25	10	19	0	0	13	19																							
