Moth ID	taxon	Population	state	date prep 	initials	date image	order	initials	ovip_mm
6.204	Tegeticula antithetica	EightmileVal	NV	15/10/2008	CD	15/10/2008	36	WG	2.815731393
6.205	Tegeticula antithetica	EightmileVal	NV	15/10/2008	CD	15/10/2008	37	WG	2.913148357
6.232	Tegeticula antithetica	EightmileVal	NV	15/10/2008	CD	15/10/2008	35	WG	2.685032761
7.1456	Tegeticula antithetica	EightmileVal	NV	15/10/2008	CD	15/10/2008	38	WG	2.793677216
7.1458	Tegeticula antithetica	EightmileVal	NV	15/10/2008	CD	15/10/2008	39	WG	2.903966349
05.154A	Tegeticula synthetica	EurekaValley	CA	13/10/2008	CD	13/10/2008	5	CD	3.403540602
05.155A	Tegeticula synthetica	EurekaValley	CA	13/10/2008	CD	13/10/2008	6	CD	3.624343591
05.156A	Tegeticula synthetica	EurekaValley	CA	13/10/2008	CD	13/10/2008	7	CD	3.410723492
05.158A	Tegeticula synthetica	EurekaValley	CA	13/10/2008	CD	13/10/2008	8	CD	3.737505399
05.159A	Tegeticula synthetica	EurekaValley	CA	13/10/2008	CD	13/10/2008	9	WG	3.684902108
05.161A	Tegeticula synthetica	EurekaValley	CA	13/10/2008	CD	13/10/2008	10	WG	3.664624515
05.58B	Tegeticula synthetica	EurekaValley	CA	15/10/2008	CD	15/10/2008	40	WG	3.493787161
05.59A	Tegeticula synthetica	EurekaValley	CA	15/10/2008	CD	15/10/2008	41	WG	3.670388304
05.60C	Tegeticula synthetica	EurekaValley	CA	15/10/2008	CD	15/10/2008	42	WG	3.042408984
05.57C	Tegeticula synthetica	GoldPoint	NV	22/10/2008	CD	23/10/2008	60	CD	3.517450915
6.226	Tegeticula antithetica	IndianRidge	NV	20/10/2008	CD	20/10/2008	50	WG	2.819141316
7.156	Tegeticula antithetica	KingstonMtns	CA	15/10/2008	CD	15/10/2008	32	CD	2.40554895
7.1562	Tegeticula antithetica	KingstonMtns	CA	15/10/2008	CD	15/10/2008	33	CD	2.790893277
07.1471X	Tegeticula antithetica	KingstonMtns	CA	15/10/2008	CD	15/10/2008	34	CD	2.498802614
6.225	Tegeticula antithetica	Sawmill	NV	20/10/2008	CD	15/10/2008	44	CD	2.10263719
6.197	Tegeticula antithetica	Sawmill	NV	23/10/2008	CD	23/10/2008	76	WG	2.779227102
